SubjectID,Age,Sex,Condition,BlockType,TrialBlock,TrialNumber,CurrGen,Bead,ItemLeft,ItemRight,SideChoisen,Prediction,Confidence,Correct,Reward,RT
SUBJ__4,30,M,2,hazard,1,1,low,blue,low,high,None,None,0,NA,NA,2.1844491958618164
SUBJ__4,30,M,2,hazard,1,2,low,blue,low,high,0,low,0.36,NA,NA,2.870007038116455
SUBJ__4,30,M,2,hazard,1,3,low,orange,low,high,0,low,0.36,NA,NA,4.336242198944092
SUBJ__4,30,M,2,hazard,1,3,low,NA,low,high,0,low,0.36,1,8.0,NA
SUBJ__4,30,M,2,hazard,2,1,low,orange,low,high,None,None,0,NA,NA,1.8321211338043213
SUBJ__4,30,M,2,hazard,2,1,low,NA,low,high,None,None,0,0,0,NA
SUBJ__4,30,M,2,hazard,3,1,high,orange,low,high,None,None,0,NA,NA,2.3654370307922363
SUBJ__4,30,M,2,hazard,3,1,high,NA,low,high,None,None,0,0,0,NA
SUBJ__4,30,M,2,hazard,4,1,low,orange,low,high,None,None,0,NA,NA,3.441575050354004
SUBJ__4,30,M,2,hazard,4,1,low,NA,low,high,None,None,0,0,0,NA
SUBJ__4,30,M,2,hazard,5,1,low,blue,high,low,None,None,0,NA,NA,6.386911630630493
SUBJ__4,30,M,2,hazard,5,2,low,blue,high,low,1,low,0.38,NA,NA,4.303494215011597
SUBJ__4,30,M,2,hazard,5,3,low,blue,high,low,1,low,1,NA,NA,1.9027881622314453
SUBJ__4,30,M,2,hazard,5,4,low,blue,high,low,1,low,1,NA,NA,1.3023021221160889
SUBJ__4,30,M,2,hazard,5,5,low,blue,high,low,1,low,1,NA,NA,0.8679821491241455
SUBJ__4,30,M,2,hazard,5,5,low,NA,high,low,1,low,1,1,10,NA
SUBJ__4,30,M,2,hazard,6,1,low,orange,high,low,None,None,0,NA,NA,2.0992488861083984
SUBJ__4,30,M,2,hazard,6,2,low,orange,high,low,1,low,0.25,NA,NA,2.468125104904175
SUBJ__4,30,M,2,hazard,6,3,low,orange,high,low,1,low,1,NA,NA,3.769076108932495
SUBJ__4,30,M,2,hazard,6,4,low,orange,high,low,1,low,1,NA,NA,1.200834035873413
SUBJ__4,30,M,2,hazard,6,4,low,NA,high,low,1,low,1,1,10,NA
SUBJ__4,30,M,2,hazard,7,1,low,orange,high,low,None,None,0,NA,NA,1.6147189140319824
SUBJ__4,30,M,2,hazard,7,2,low,orange,high,low,1,low,0.31,NA,NA,1.8353869915008545
SUBJ__4,30,M,2,hazard,7,3,low,orange,high,low,1,low,1,NA,NA,1.0270650386810303
SUBJ__4,30,M,2,hazard,7,4,low,orange,high,low,1,low,1,NA,NA,1.9301540851593018
SUBJ__4,30,M,2,hazard,7,5,low,orange,high,low,1,low,1,NA,NA,1.4359078407287598
SUBJ__4,30,M,2,hazard,7,5,low,NA,high,low,1,low,1,1,10,NA
SUBJ__4,30,M,2,hazard,8,1,low,blue,high,low,None,None,0,NA,NA,1.4332659244537354
SUBJ__4,30,M,2,hazard,8,1,low,NA,high,low,None,None,0,0,0,NA
SUBJ__4,30,M,2,hazard,9,1,low,blue,low,high,None,None,0,NA,NA,4.917631149291992
SUBJ__4,30,M,2,hazard,9,1,low,NA,low,high,None,None,0,0,0,NA
SUBJ__4,30,M,2,hazard,10,1,high,blue,high,low,None,None,0,NA,NA,0.8838260173797607
SUBJ__4,30,M,2,hazard,10,1,high,NA,high,low,None,None,0,0,0,NA
SUBJ__4,30,M,2,hazard,11,1,high,orange,low,high,None,None,0,NA,NA,1.0669612884521484
SUBJ__4,30,M,2,hazard,11,2,high,blue,low,high,1,high,0.29,NA,NA,5.220879793167114
SUBJ__4,30,M,2,hazard,11,3,high,blue,low,high,1,high,0.15,NA,NA,8.131869077682495
SUBJ__4,30,M,2,hazard,11,3,high,NA,low,high,1,high,0.15,1,4.0,NA
SUBJ__4,30,M,2,hazard,12,1,high,orange,low,high,None,None,0,NA,NA,1.1011810302734375
SUBJ__4,30,M,2,hazard,12,2,high,blue,low,high,1,high,0.26,NA,NA,3.702965021133423
SUBJ__4,30,M,2,hazard,12,2,high,NA,low,high,1,high,0.26,1,7.0,NA
SUBJ__4,30,M,2,hazard,13,1,low,blue,low,high,None,None,0,NA,NA,1.1974778175354004
SUBJ__4,30,M,2,hazard,13,2,low,orange,low,high,1,high,0.25,NA,NA,2.2336950302124023
SUBJ__4,30,M,2,hazard,13,3,low,orange,low,high,1,high,0.19,NA,NA,2.698698043823242
SUBJ__4,30,M,2,hazard,13,4,low,orange,low,high,0,low,0.28,NA,NA,3.9119930267333984
SUBJ__4,30,M,2,hazard,13,4,low,NA,low,high,0,low,0.28,1,7.0,NA
